storage_path,local_path,image_source,status,source_table,source_field,source_id,source_label,db_url
packages/1785076639363-chatgpt-image-jul-26-2026-08-07-10-pm.png,/images/packages/1785076639363-chatgpt-image-jul-26-2026-08-07-10-pm.png,supabase-upload,downloaded,packages,image_url,kerala-complete-kerala-kanyakumari-grand-tour-9d8n,Kerala Heritage &amp; Coastal Escape,https://fgrsjqkboltbwatfhcnm.supabase.co/storage/v1/object/public/cms-images/packages/1785076639363-chatgpt-image-jul-26-2026-08-07-10-pm.png
packages/1785081681929-chatgpt-image-jul-26-2026-09-31-10-pm.png,/images/packages/1785081681929-chatgpt-image-jul-26-2026-09-31-10-pm.png,supabase-upload,downloaded,packages,image_url,kaziranga-wildlife-escape-4d3n,Kaziranga Wildlife Escape,https://fgrsjqkboltbwatfhcnm.supabase.co/storage/v1/object/public/cms-images/packages/1785081681929-chatgpt-image-jul-26-2026-09-31-10-pm.png
packages/1785081885164-chatgpt-image-jul-26-2026-09-34-32-pm.png,/images/packages/1785081885164-chatgpt-image-jul-26-2026-09-34-32-pm.png,supabase-upload,downloaded,packages,image_url,guwahati-kaziranga-tour-5d4n,Guwahati &amp; Kaziranga Tour,https://fgrsjqkboltbwatfhcnm.supabase.co/storage/v1/object/public/cms-images/packages/1785081885164-chatgpt-image-jul-26-2026-09-34-32-pm.png
packages/1785082084507-chatgpt-image-jul-26-2026-09-37-52-pm.png,/images/packages/1785082084507-chatgpt-image-jul-26-2026-09-37-52-pm.png,supabase-upload,downloaded,packages,image_url,complete-assam-explorer-7d6n,Complete Assam Explorer,https://fgrsjqkboltbwatfhcnm.supabase.co/storage/v1/object/public/cms-images/packages/1785082084507-chatgpt-image-jul-26-2026-09-37-52-pm.png
packages/1785084342363-chatgpt-image-jul-26-2026-10-15-22-pm.png,/images/packages/1785084342363-chatgpt-image-jul-26-2026-10-15-22-pm.png,supabase-upload,downloaded,packages,image_url,shillong-cherrapunji-escape-4d3n,Shillong &amp; Cherrapunji Escape,https://fgrsjqkboltbwatfhcnm.supabase.co/storage/v1/object/public/cms-images/packages/1785084342363-chatgpt-image-jul-26-2026-10-15-22-pm.png
packages/1785084506410-chatgpt-image-jul-26-2026-10-18-07-pm.png,/images/packages/1785084506410-chatgpt-image-jul-26-2026-10-18-07-pm.png,supabase-upload,downloaded,packages,image_url,meghalaya-nature-adventure-5d4n,Meghalaya Nature Adventure,https://fgrsjqkboltbwatfhcnm.supabase.co/storage/v1/object/public/cms-images/packages/1785084506410-chatgpt-image-jul-26-2026-10-18-07-pm.png
packages/1785084642100-chatgpt-image-jul-26-2026-10-20-11-pm.png,/images/packages/1785084642100-chatgpt-image-jul-26-2026-10-20-11-pm.png,supabase-upload,downloaded,packages,image_url,complete-meghalaya-explorer-6d5n,Complete Meghalaya Explorer,https://fgrsjqkboltbwatfhcnm.supabase.co/storage/v1/object/public/cms-images/packages/1785084642100-chatgpt-image-jul-26-2026-10-20-11-pm.png
packages/1785083613658-chatgpt-image-jul-26-2026-10-03-18-pm.png,/images/packages/1785083613658-chatgpt-image-jul-26-2026-10-03-18-pm.png,supabase-upload,downloaded,packages,image_url,gangtok-delight-4d3n,Gangtok Delight,https://fgrsjqkboltbwatfhcnm.supabase.co/storage/v1/object/public/cms-images/packages/1785083613658-chatgpt-image-jul-26-2026-10-03-18-pm.png
packages/1785083437492-chatgpt-image-jul-26-2026-10-00-25-pm.png,/images/packages/1785083437492-chatgpt-image-jul-26-2026-10-00-25-pm.png,supabase-upload,downloaded,packages,image_url,gangtok-sikkim-adventure-6d5n,Gangtok &amp; Sikkim Adventure,https://fgrsjqkboltbwatfhcnm.supabase.co/storage/v1/object/public/cms-images/packages/1785083437492-chatgpt-image-jul-26-2026-10-00-25-pm.png
packages/1785083731572-chatgpt-image-jul-26-2026-10-05-16-pm.png,/images/packages/1785083731572-chatgpt-image-jul-26-2026-10-05-16-pm.png,supabase-upload,downloaded,packages,image_url,complete-sikkim-explorer-featured-package-7d6n,Complete Sikkim Explorer,https://fgrsjqkboltbwatfhcnm.supabase.co/storage/v1/object/public/cms-images/packages/1785083731572-chatgpt-image-jul-26-2026-10-05-16-pm.png
